line_group_id,valid_line,correct_order,complete_enough,neighbor_noise,good_for_line_train,notes
school_full_line_train_794_3,1,1,0,0,1,
school_full_line_train_946_24,1,1,0,0,1,
school_full_line_train_947_10,1,1,0,0,1,
school_full_line_train_1321_25,1,1,0,0,1,
school_full_line_train_1321_21,1,1,0,0,1,
school_full_line_train_1321_19,1,1,0,0,1,
school_full_line_train_1321_17,1,1,0,0,1,
school_full_line_train_1324_34,1,1,0,0,1,
school_full_line_train_1442_47,1,1,0,0,1,
school_full_line_train_1492_21,0,1,0,1,1,
school_full_line_train_1496_320,1,1,1,0,1,
school_full_line_val_11_82,1,1,0,1,1,
school_full_line_val_12_87,0,1,0,1,1,
