area,aspect_ratio,bbox_json,border_fg_ratio,category,component_count,contrast_range,dhash,exact_hash,fg_fraction,gray_p05,gray_p95,gray_std,height,horizontal_line_fraction,horizontal_line_rows,horizontal_line_width_fraction,image_path,level,line_id,max_row_occupancy,page_id,page_key,pixels_per_char,sample_id,split,suspicion_reasons,suspicion_score,suspicious,text,text_len,threshold_used,touches_bottom,touches_left,touches_right,touches_top,touching_sides,width,width_per_char,calibration_stratum
13376,3.265625,,0.0,pupil_text,1,201.0,02034947432b7ff0,5b14e3631189d80d207e0dc19ca236dd94fe0a5c,0.5864982057416268,54.0,255.0,76.9128725867854,64,0.6866794136392607,42,0.937799043062201,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0143036.png,word,,0.9186602870813397,,,2229.3333333333335,school_notebooks_train_0143036,train,foreground_heavy;probable_horizontal_ruling,6,1,плане-,6,120,0,0,0,0,0,209,34.833333333333336,foreground_heavy
4800,1.171875,,0.0,pupil_text,1,208.0,407e3e1f131b1305,5f249977fcc36c9ea403743063094565ea6a22fc,0.1625,46.0,254.0,76.31376494879363,64,0.4371794871794872,8,0.7466666666666667,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0038994.png,word,,0.6533333333333333,,,2400.0,school_notebooks_train_0038994,train,very_short_text;probable_horizontal_ruling,4,1,ч.,2,120,0,0,0,0,0,75,37.5,short_text_line_candidate
9088,2.21875,,0.0,pupil_text,5,135.0,141a9b090b197f70,baeda0ef5dd31e742010cc0f0ace3d6fa3e9b9d2,0.11586707746478873,120.0,255.0,50.43390325446405,64,0.0,0,0.0,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0318887.png,word,,0.2887323943661972,,,1817.6,school_notebooks_test_0318887,test,,0,0,легко,5,145,0,0,0,0,0,142,28.4,line_none
7744,1.890625,,0.0,pupil_comment,1,201.0,0b0b4b5b19210f8c,fad574bb30b4ce34ef25023647922acf39447ef6,0.559529958677686,54.0,255.0,82.64636470888178,64,0.9416108931456266,46,0.8677685950413223,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0239018.png,word,,0.8677685950413223,,,2581.3333333333335,school_notebooks_train_0239018,train,foreground_heavy;probable_horizontal_ruling,6,1,скл,3,120,0,0,0,0,0,121,40.333333333333336,foreground_heavy
4096,1.0,,0.0,pupil_text,3,124.25,02061e36765d6d08,d48f3a8d039b6213ab51a685360d69e3b44db385,0.060302734375,130.75,255.0,39.834364556819715,64,0.0,0,0.0,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0232284.png,word,,0.203125,,,1365.3333333333333,school_notebooks_train_0232284,train,,0,0,"б.,",3,145,0,0,0,0,0,64,21.333333333333332,line_none
9920,2.421875,,0.0,pupil_text,8,143.0,03114969cb185a10,59ec06f0be5ffdfe220134c8202f2cd1722bc964,0.0719758064516129,112.0,255.0,45.03900219881675,64,0.0,0,0.0,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0130058.png,word,,0.3548387096774194,,,1984.0,school_notebooks_train_0130058,train,,0,0,шорох,5,145,0,0,0,0,0,155,31.0,line_none
4736,1.15625,,0.0,pupil_text,2,163.0,160e0f8f0f2f2b15,dca933d8239d482cac7397b84c5ac7a9742c9bfa,0.08298141891891891,92.0,255.0,54.64470949272536,64,0.0,0,0.0,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0316855.png,word,,0.35135135135135137,,,2368.0,school_notebooks_test_0316855,test,very_short_text,1,0,бы,2,145,0,0,0,0,0,74,37.0,short_text_no_line
6976,1.703125,,0.0,pupil_text,1,207.25,023d3e5755471621,ccb9ea98d3c591e20600c5b3b88cf3d283986c6b,0.1720183486238532,47.75,255.0,69.77011608813602,64,0.035833333333333335,1,0.3944954128440367,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0287519.png,word,,0.5688073394495413,,,3488.0,school_notebooks_val_0287519,val,very_short_text,1,0,он,2,145,0,0,0,0,0,109,54.5,short_text_no_line
13376,3.265625,,0.0,pupil_text,8,196.0,a13c2f5921236306,9d65a2dbb535b2da1af7dbdcdc4439d6eb48f88d,0.319377990430622,59.0,255.0,76.81090908318875,64,0.36680711610486894,11,0.9234449760765551,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0294186.png,word,,0.937799043062201,,,2229.3333333333335,school_notebooks_val_0294186,val,probable_horizontal_ruling,3,1,взгляд,6,120,0,0,0,0,0,209,34.833333333333336,line_high
14912,3.640625,,0.0,pupil_text,1,188.0,3f19332543c0d0c0,0aeef075f0c38f43c09397ff2a5e5986bfcfc077,0.11876341201716738,67.0,255.0,61.08035212918638,64,0.05815923207227555,1,0.44206008583690987,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0093479.png,word,,0.7639484978540773,,,1864.0,school_notebooks_train_0093479,train,long_horizontal_structure,2,1,джигита.,8,145,0,0,0,0,0,233,29.125,line_low
4096,1.0,,0.0,pupil_text,2,188.0,272f177317272e18,d45e1040cbc819e118f6fd2470cca856322816ae,0.316650390625,67.0,255.0,67.25995573461212,64,0.3037779491133385,12,0.765625,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0321344.png,word,,0.75,,,1365.3333333333333,school_notebooks_test_0321344,test,probable_horizontal_ruling,3,1,год,3,145,0,0,0,0,0,64,21.333333333333332,line_high
5952,1.453125,,0.0,pupil_text,1,210.0,0c0733173747532d,1e058a78e81cbcc11ad8d985901b1d9b0885d6f6,0.1639784946236559,45.0,255.0,63.62470149245845,64,0.18442622950819673,3,0.8709677419354839,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0022779.png,word,,0.8602150537634409,,,2976.0,school_notebooks_train_0022779,train,very_short_text;probable_horizontal_ruling,4,1,на,2,145,0,0,0,0,0,93,46.5,short_text_line_candidate
7488,1.828125,,0.0,pupil_text,5,141.64999999999998,904e475357310110,200b639e4931721698b4b37f957c1895f9bbd1db,0.06891025641025642,112.35000000000002,254.0,46.441856379681354,64,0.0,0,0.0,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0129578.png,word,,0.24786324786324787,,,1872.0,school_notebooks_train_0129578,train,,0,0,454.,4,145,0,0,0,0,0,117,29.25,line_none
8768,2.140625,,0.0,pupil_text,1,162.0,162136366d1b0600,a1b0b3c951d0588e91da9af9a0dfadb8553c5913,0.0927235401459854,93.0,255.0,50.76454973958119,64,0.0,0,0.0,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0203179.png,word,,0.29927007299270075,,,4384.0,school_notebooks_train_0203179,train,very_short_text,1,0,на,2,145,0,0,0,0,0,137,68.5,short_text_no_line
8192,2.0,,0.0,pupil_text,5,167.0,44871b3b2747473c,e55c6842ace183342c154921c66d4d7bd31412b0,0.1263427734375,87.0,254.0,55.96315624328594,64,0.0,0,0.0,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0171232.png,word,,0.4609375,,,4096.0,school_notebooks_train_0171232,train,very_short_text,1,0,ал,2,145,0,0,0,0,0,128,64.0,short_text_no_line
4096,1.0,,0.0,pupil_text,1,155.0,3e373f5b53032303,70babaef1d5357705a705d63901799bb0adbb52d,0.112060546875,100.0,255.0,54.07565785191721,64,0.0,0,0.0,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0311459.png,word,,0.390625,,,1365.3333333333333,school_notebooks_test_0311459,test,,0,0,эту,3,145,0,0,0,0,0,64,21.333333333333332,line_none
8512,2.078125,,0.0,pupil_text,1,203.0,005d56256d4b9601,649d2a9b0f13081a89388210f840a084a0e6451e,0.22274436090225563,52.0,255.0,72.55725277218251,64,0.03270042194092827,1,0.46616541353383456,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0287379.png,word,,0.6466165413533834,,,4256.0,school_notebooks_val_0287379,val,very_short_text,1,0,на,2,145,0,0,0,0,0,133,66.5,short_text_no_line
5504,1.34375,,0.0,pupil_comment,1,175.0,25131b1b1b8f0602,c84e1528ad06eee6a47407d920324d7e37e021d0,0.14026162790697674,80.0,255.0,59.455813733618385,64,0.13730569948186527,3,0.47674418604651164,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0172314.png,word,,0.47674418604651164,,,2752.0,school_notebooks_train_0172314,train,very_short_text,1,0,гл,2,145,0,0,0,0,0,86,43.0,short_text_line_candidate
9024,2.203125,,0.0,pupil_text,2,146.0,0003793333575e00,67c964c1da014b5e01f3c7903d8556be10828df9,0.12422429078014184,109.0,255.0,54.101027769103126,64,0.272078501338091,4,0.6879432624113475,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0320848.png,word,,0.6808510638297872,,,4512.0,school_notebooks_test_0320848,test,very_short_text;probable_horizontal_ruling,4,1,н-,2,145,0,0,0,0,0,141,70.5,short_text_line_candidate
9024,2.203125,,0.0,pupil_text,1,199.0,4a58514d3b73d083,635bde4efc9af08a1cc949adedd2e8d001b949dc,0.33832003546099293,55.0,254.0,73.19998502681479,64,0.4615132656403538,16,0.8581560283687943,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0220594.png,word,,0.8439716312056738,,,1289.142857142857,school_notebooks_train_0220594,train,probable_horizontal_ruling,3,1,добычей,7,145,0,0,0,0,0,141,20.142857142857142,line_high
7360,1.796875,,0.0,pupil_comment,1,212.0,b03e4f591b3b3f60,0ee517104d0f26fa8fe18b85e7038cf7cb2b9521,0.45706521739130435,43.0,255.0,84.20618708391736,64,0.9051724137931034,35,0.9130434782608695,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0237352.png,word,,0.9043478260869565,,,1840.0,school_notebooks_train_0237352,train,foreground_heavy;probable_horizontal_ruling,6,1,по.п,4,120,0,0,0,0,0,115,28.75,foreground_heavy
8704,2.125,,0.0,pupil_comment,1,187.0,36393961597373c0,1b454ab6392d01e6400d41c4a198df8ea9e91f37,0.45622702205882354,68.0,255.0,79.56525545640564,64,0.7821707378494082,29,0.9117647058823529,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0239673.png,word,,0.8897058823529411,,,2901.3333333333335,school_notebooks_train_0239673,train,foreground_heavy;probable_horizontal_ruling,6,1,в.п,3,120,0,0,0,0,0,136,45.333333333333336,foreground_heavy
8832,2.15625,,0.0,pupil_text,5,225.0,281b192b57675b04,2901b7cbce9da7171cfce27ae1e1859672cf41ba,0.1402853260869565,30.0,255.0,66.70472354578361,64,0.0,0,0.0,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0092018.png,word,,0.32608695652173914,,,4416.0,school_notebooks_train_0092018,train,very_short_text,1,0,те,2,145,0,0,0,0,0,138,69.0,short_text_no_line
10304,2.515625,,0.0,pupil_text,3,151.0,0c0f233527030181,4f4e9a5d1a7b26f87119c227a5888342fb620815,0.1142274844720497,104.0,255.0,50.83882708644373,64,0.0,0,0.0,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0264204.png,word,,0.32298136645962733,,,1717.3333333333333,school_notebooks_train_0264204,train,,0,0,любвим,6,145,0,0,0,0,0,161,26.833333333333332,line_none
7744,1.890625,,0.0,pupil_text,2,154.0,509f29350d031302,4492e8abac395edca712a086a58b39585289b6ac,0.09284607438016529,100.0,254.0,53.76129097586149,64,0.0,0,0.0,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0296898.png,word,,0.4049586776859504,,,3872.0,school_notebooks_test_0296898,test,very_short_text,1,0,"и,",2,145,0,0,0,0,0,121,60.5,short_text_no_line
6656,1.625,,0.0,pupil_text,6,141.0,11383f37475d7b4b,e48d97d7b8a429049c1df83a138b1746b9098b52,0.09104567307692307,114.0,255.0,51.710226243156036,64,0.13366336633663367,2,0.5576923076923077,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0317160.png,phrase,,0.5096153846153846,,,1331.2,school_notebooks_test_0317160,test,probable_horizontal_ruling,3,1,"2 л.,",5,145,0,0,0,0,0,104,20.8,line_medium
8448,2.0625,,0.0,pupil_text,1,185.0,185a584d51592f0f,b94cb4aee7d7fd4d89436e7e5b10fb8fa3d89223,0.12275094696969698,70.0,255.0,61.50169329240306,64,0.054966248794599805,1,0.4318181818181818,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0279025.png,word,,0.553030303030303,,,2112.0,school_notebooks_val_0279025,val,,0,0,свет,4,145,0,0,0,0,0,132,33.0,line_low
17600,4.296875,,0.0,pupil_text,3,188.0,6069606969637fc0,d960a5b57a42ee888ee3d9f1b44f974c60b8e4ca,0.20147727272727273,67.0,255.0,66.74582511387297,64,0.23575860124083475,5,0.96,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0221799.png,word,,0.92,,,2200.0,school_notebooks_train_0221799,train,probable_horizontal_ruling,3,1,домашняя,8,145,0,0,0,0,0,275,34.375,line_medium
9792,2.390625,,0.0,pupil_text,1,176.0,203f5765030d4811,242ad3c66887a285409475d177d13f99a22d520d,0.21548202614379086,78.0,254.0,65.13783837050846,64,0.4872037914691943,12,0.9019607843137255,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0270240.png,word,,0.8366013071895425,,,2448.0,school_notebooks_val_0270240,val,probable_horizontal_ruling,3,1,шире,4,145,0,0,0,0,0,153,38.25,line_high
14144,3.453125,,0.0,pupil_text,7,149.8499999999999,00140009134f7fc0,8201970123008d6b54e58093094dca3c4a9b78fd,0.08547794117647059,105.15000000000009,255.0,52.322616746891164,64,0.0,0,0.0,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0041711.png,word,,0.31221719457013575,,,2020.5714285714287,school_notebooks_train_0041711,train,,0,0,тишены!,7,145,0,0,0,0,0,221,31.571428571428573,line_none
7424,1.8125,,0.0,pupil_text,2,171.0,2c2f130b23070e0d,baf8506fbdc6057685dda1edbfdcb2d53f48d71c,0.11570581896551724,84.0,255.0,57.355731191452556,64,0.0,0,0.0,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0071945.png,word,,0.3879310344827586,,,2474.6666666666665,school_notebooks_train_0071945,train,,0,0,под,3,145,0,0,0,0,0,116,38.666666666666664,line_none
5120,1.25,,0.0,pupil_text,1,206.0,4e8f173f2f5e3936,b0998bf78336a52662fee805ee3058522434284e,0.424609375,49.0,255.0,85.4127564738881,64,0.9070837166513339,42,0.85,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0273175.png,word,,0.725,,,2560.0,school_notebooks_val_0273175,val,very_short_text;foreground_heavy;probable_horizontal_ruling,7,1,не,2,120,0,0,0,0,0,80,40.0,foreground_heavy
11584,2.828125,,0.0,pupil_text,3,200.0,4240654733436564,fd756a1916e90b53e8b34332cda3fc4d899172b8,0.30740676795580113,55.0,255.0,71.16489032019123,64,0.15164279696714406,6,0.6961325966850829,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0193977.png,word,,0.856353591160221,,,1053.090909090909,school_notebooks_train_0193977,train,probable_horizontal_ruling,3,1,контрольный,11,145,0,0,0,0,0,181,16.454545454545453,line_medium
7232,1.765625,,0.0,pupil_text,2,203.0,5899293b33570300,008fc8073f46c71812ec5c445f14b5957b20be37,0.3620022123893805,52.0,255.0,82.77345911838786,64,0.4144385026737968,15,0.8230088495575221,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0302205.png,word,,0.8230088495575221,,,3616.0,school_notebooks_test_0302205,test,very_short_text;foreground_heavy;probable_horizontal_ruling,7,1,не,2,120,0,0,0,0,0,113,56.5,foreground_heavy
10176,2.484375,,0.0,pupil_text,4,207.0,407f2b256b571103,4d4db6a05864ac2c9ef535947d98512b13340ade,0.17541273584905662,48.0,255.0,66.9935839593231,64,0.32100840336134456,5,0.8679245283018868,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0285214.png,word,,0.8679245283018868,,,3392.0,school_notebooks_val_0285214,val,probable_horizontal_ruling,3,1,или,3,145,0,0,0,0,0,159,53.0,line_high
10944,2.671875,,0.0,pupil_text,2,165.0,382f4b1149c91801,b4076d46d4af35aa3d8ec4c96bf813fb71ba3b13,0.1608187134502924,90.0,255.0,58.7517847075181,64,0.3625,5,0.9122807017543859,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0303464.png,word,,0.9064327485380117,,,2736.0,school_notebooks_test_0303464,test,probable_horizontal_ruling,3,1,торт,4,145,0,0,0,0,0,171,42.75,line_high
7552,1.84375,,0.0,pupil_text,1,197.0,61687355336f5501,d56d4569b89b20fa3a2df34e428b859676460b56,0.1839247881355932,57.0,254.0,65.37964114920314,64,0.2606191504679626,4,0.8983050847457628,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0002840.png,word,,0.8983050847457628,,,1888.0,school_notebooks_train_0002840,train,probable_horizontal_ruling,3,1,вает,4,145,0,0,0,0,0,118,29.5,line_medium
8320,2.03125,,0.0,pupil_text,5,136.0,8121634d6d676101,1ac19fcf7e845bbe5c45d7a8cbe4b25b4f31301f,0.11430288461538461,119.0,255.0,48.77903400638497,64,0.33543638275499477,4,0.8307692307692308,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0309708.png,word,,0.8615384615384616,,,1188.5714285714287,school_notebooks_test_0309708,test,probable_horizontal_ruling,3,1,делаю?),7,145,0,0,0,0,0,130,18.571428571428573,line_high
10816,2.640625,,0.0,teacher_comment,3,203.0,58626369590b0f08,0e9c4f358f4fb232cc66505b58251d22f5202113,0.16013313609467456,51.0,254.0,65.67691784877465,64,0.0,0,0.0,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0252177.png,word,,0.5266272189349113,,,1802.6666666666667,school_notebooks_train_0252177,train,,0,0,бегали,6,145,0,0,0,0,0,169,28.166666666666668,line_none
10112,2.46875,,0.0,pupil_text,1,189.0,101f29093317532c,7c644a21a6a349d0e2bb98781fe12171f69418d8,0.12312104430379747,66.0,255.0,56.433117652619096,64,0.0,0,0.0,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0277011.png,word,,0.4240506329113924,,,5056.0,school_notebooks_val_0277011,val,very_short_text,1,0,ши,2,145,0,0,0,0,0,158,79.0,short_text_no_line
8576,2.09375,,0.0,pupil_text,1,184.0,111c2f2b63012181,89345c451e1770c09e479c6e64f0de72d4785e99,0.23332555970149255,71.0,255.0,64.9955706719095,64,0.36681659170414793,9,0.7985074626865671,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0185507.png,word,,0.7910447761194029,,,2858.6666666666665,school_notebooks_train_0185507,train,probable_horizontal_ruling,3,1,ели,3,145,0,0,0,0,0,134,44.666666666666664,line_high
21376,5.21875,,0.0,pupil_text,1,182.0,0105070b454d4d00,eb2d31af736aa4d251188757d9582dd18954e131,0.23053892215568864,73.0,255.0,67.10167184863336,64,0.14508928571428573,4,0.811377245508982,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0268468.png,word,,0.9161676646706587,,,2672.0,school_notebooks_val_0268468,val,probable_horizontal_ruling,3,1,личности,8,120,0,0,0,0,0,334,41.75,line_medium
6336,1.546875,,0.0,pupil_text,2,167.0,59983b3367695b22,70ade9688e74cf483d6c8dc84828f5361c994bb6,0.11631944444444445,88.0,255.0,53.68860607064259,64,0.0,0,0.0,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0199490.png,word,,0.36363636363636365,,,3168.0,school_notebooks_train_0199490,train,very_short_text,1,0,от,2,145,0,0,0,0,0,99,49.5,short_text_no_line
10688,2.609375,,0.0,pupil_text,1,197.0,0136351d335e5906,d09001592c34bbeed2b5279cc656c42e9f3af874,0.15755988023952097,58.0,255.0,66.30738497341154,64,0.0,0,0.0,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0287497.png,word,,0.38323353293413176,,,5344.0,school_notebooks_val_0287497,val,very_short_text,1,0,от,2,145,0,0,0,0,0,167,83.5,short_text_no_line
6208,1.515625,,0.0,pupil_text,3,200.0,840713172d575f7c,1094109c3ac6004642da9bf4a8af3eb84494f03a,0.3603414948453608,54.0,254.0,75.80687445859971,64,0.31247206079570855,13,0.8247422680412371,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0272052.png,word,,0.845360824742268,,,3104.0,school_notebooks_val_0272052,val,very_short_text;foreground_heavy;probable_horizontal_ruling,7,1,на,2,120,0,0,0,0,0,97,48.5,foreground_heavy
13440,3.28125,,0.0,pupil_text,2,165.0,7f67652d3f7e2028,b204d514b2f520cff2b2d7257e5ddfab8e2793ee,0.15647321428571428,90.0,255.0,60.47799936291627,64,0.20589633856395625,3,0.9333333333333333,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0292743.png,word,,0.919047619047619,,,1493.3333333333333,school_notebooks_val_0292743,val,probable_horizontal_ruling,3,1,андреевич,9,145,0,0,0,0,0,210,23.333333333333332,line_medium
