sample_id,gold_stratum,foreground_usable,skeleton_matches_ink,line_residual,neighbor_noise,label_issue,topology_issue,notes
school_notebooks_test_0297624,hard_real_correct,,,,,,,
school_notebooks_test_0297660,hard_real_correct,,,,,,,
school_notebooks_test_0298053,hard_real_correct,,,,,,,
school_notebooks_test_0298127,hard_real_correct,,,,,,,
school_notebooks_test_0298139,hard_real_correct,,,,,,,
school_notebooks_test_0298168,hard_real_correct,,,,,,,
school_notebooks_test_0298591,hard_real_correct,,,,,,,
school_notebooks_test_0299354,hard_real_correct,,,,,,,
school_notebooks_test_0299604,hard_real_correct,,,,,,,
school_notebooks_test_0299827,hard_real_correct,,,,,,,
school_notebooks_test_0299847,hard_real_correct,,,,,,,
school_notebooks_test_0301870,hard_real_correct,,,,,,,
school_notebooks_test_0302063,hard_real_correct,,,,,,,
school_notebooks_test_0302706,hard_real_correct,,,,,,,
school_notebooks_test_0303735,hard_real_correct,,,,,,,
school_notebooks_test_0305055,hard_real_correct,,,,,,,
school_notebooks_test_0307554,hard_real_correct,,,,,,,
school_notebooks_test_0309887,hard_real_correct,,,,,,,
school_notebooks_test_0310724,hard_real_correct,,,,,,,
school_notebooks_test_0314499,hard_real_correct,,,,,,,
school_notebooks_test_0315580,hard_real_correct,,,,,,,
school_notebooks_test_0315654,hard_real_correct,,,,,,,
school_notebooks_test_0315911,hard_real_correct,,,,,,,
school_notebooks_test_0315971,hard_real_correct,,,,,,,
school_notebooks_test_0315999,hard_real_correct,,,,,,,
school_notebooks_test_0316185,hard_real_correct,,,,,,,
school_notebooks_test_0316244,hard_real_correct,,,,,,,
school_notebooks_test_0316328,hard_real_correct,,,,,,,
school_notebooks_test_0317680,hard_real_correct,,,,,,,
school_notebooks_test_0320181,hard_real_correct,,,,,,,
school_notebooks_test_0321038,hard_real_correct,,,,,,,
school_notebooks_test_0321927,hard_real_correct,,,,,,,
school_notebooks_test_0322017,hard_real_correct,,,,,,,
school_notebooks_test_0323227,hard_real_correct,,,,,,,
school_notebooks_test_0323364,hard_real_correct,,,,,,,
school_notebooks_test_0297457,hard_real_error,,,,,,,
school_notebooks_test_0297500,hard_real_error,,,,,,,
school_notebooks_test_0297637,hard_real_error,,,,,,,
school_notebooks_test_0297642,hard_real_error,,,,,,,
school_notebooks_test_0297898,hard_real_error,,,,,,,
school_notebooks_test_0298626,hard_real_error,,,,,,,
school_notebooks_test_0298653,hard_real_error,,,,,,,
school_notebooks_test_0298655,hard_real_error,,,,,,,
school_notebooks_test_0298664,hard_real_error,,,,,,,
school_notebooks_test_0298715,hard_real_error,,,,,,,
school_notebooks_test_0298742,hard_real_error,,,,,,,
school_notebooks_test_0298798,hard_real_error,,,,,,,
school_notebooks_test_0298840,hard_real_error,,,,,,,
school_notebooks_test_0298969,hard_real_error,,,,,,,
school_notebooks_test_0299138,hard_real_error,,,,,,,
school_notebooks_test_0299187,hard_real_error,,,,,,,
school_notebooks_test_0299687,hard_real_error,,,,,,,
school_notebooks_test_0299718,hard_real_error,,,,,,,
school_notebooks_test_0299721,hard_real_error,,,,,,,
school_notebooks_test_0299819,hard_real_error,,,,,,,
school_notebooks_test_0299940,hard_real_error,,,,,,,
school_notebooks_test_0301006,hard_real_error,,,,,,,
school_notebooks_test_0302054,hard_real_error,,,,,,,
school_notebooks_test_0302336,hard_real_error,,,,,,,
school_notebooks_test_0304283,hard_real_error,,,,,,,
school_notebooks_test_0304649,hard_real_error,,,,,,,
school_notebooks_test_0304708,hard_real_error,,,,,,,
school_notebooks_test_0311016,hard_real_error,,,,,,,
school_notebooks_test_0311287,hard_real_error,,,,,,,
school_notebooks_test_0312142,hard_real_error,,,,,,,
school_notebooks_test_0315423,hard_real_error,,,,,,,
school_notebooks_test_0315518,hard_real_error,,,,,,,
school_notebooks_test_0315620,hard_real_error,,,,,,,
school_notebooks_test_0316847,hard_real_error,,,,,,,
school_notebooks_test_0316945,hard_real_error,,,,,,,
school_notebooks_test_0317014,hard_real_error,,,,,,,
school_notebooks_test_0319348,hard_real_error,,,,,,,
school_notebooks_test_0320818,hard_real_error,,,,,,,
school_notebooks_test_0321939,hard_real_error,,,,,,,
school_notebooks_test_0323480,hard_real_error,,,,,,,
cyr_phrase_072871,high_confidence_error,,,,,,,
cyr_word_072868,high_confidence_error,,,,,,,
cyr_word_072933,high_confidence_error,,,,,,,
cyr_word_072962,high_confidence_error,,,,,,,
cyr_word_073142,high_confidence_error,,,,,,,
cyr_word_073205,high_confidence_error,,,,,,,
cyr_word_073261,high_confidence_error,,,,,,,
hkr_words_021157,high_confidence_error,,,,,,,
hkr_words_049224,high_confidence_error,,,,,,,
hkr_words_051728,high_confidence_error,,,,,,,
school_notebooks_test_0296471,high_confidence_error,,,,,,,
school_notebooks_test_0297469,high_confidence_error,,,,,,,
school_notebooks_test_0297919,high_confidence_error,,,,,,,
school_notebooks_test_0298380,high_confidence_error,,,,,,,
school_notebooks_test_0298816,high_confidence_error,,,,,,,
school_notebooks_test_0300322,high_confidence_error,,,,,,,
school_notebooks_test_0302119,high_confidence_error,,,,,,,
school_notebooks_test_0304497,high_confidence_error,,,,,,,
school_notebooks_test_0306301,high_confidence_error,,,,,,,
school_notebooks_test_0307670,high_confidence_error,,,,,,,
school_notebooks_test_0308293,high_confidence_error,,,,,,,
school_notebooks_test_0308808,high_confidence_error,,,,,,,
school_notebooks_test_0310548,high_confidence_error,,,,,,,
school_notebooks_test_0314108,high_confidence_error,,,,,,,
school_notebooks_test_0315365,high_confidence_error,,,,,,,
school_notebooks_test_0318956,high_confidence_error,,,,,,,
school_notebooks_test_0319451,high_confidence_error,,,,,,,
school_notebooks_test_0319610,high_confidence_error,,,,,,,
school_notebooks_test_0319658,high_confidence_error,,,,,,,
school_notebooks_test_0321714,high_confidence_error,,,,,,,
cyr_phrase_072722,rejected_correct_low_confidence,,,,,,,
cyr_phrase_072923,rejected_correct_low_confidence,,,,,,,
cyr_word_073019,rejected_correct_low_confidence,,,,,,,
cyr_word_073022,rejected_correct_low_confidence,,,,,,,
hkr_words_011555,rejected_correct_low_confidence,,,,,,,
hkr_words_011594,rejected_correct_low_confidence,,,,,,,
hkr_words_011633,rejected_correct_low_confidence,,,,,,,
hkr_words_011764,rejected_correct_low_confidence,,,,,,,
hkr_words_011797,rejected_correct_low_confidence,,,,,,,
hkr_words_016207,rejected_correct_low_confidence,,,,,,,
hkr_words_022855,rejected_correct_low_confidence,,,,,,,
hkr_words_022858,rejected_correct_low_confidence,,,,,,,
hkr_words_024660,rejected_correct_low_confidence,,,,,,,
hkr_words_024949,rejected_correct_low_confidence,,,,,,,
hkr_words_032205,rejected_correct_low_confidence,,,,,,,
hkr_words_036038,rejected_correct_low_confidence,,,,,,,
hkr_words_047365,rejected_correct_low_confidence,,,,,,,
hkr_words_051699,rejected_correct_low_confidence,,,,,,,
hkr_words_053940,rejected_correct_low_confidence,,,,,,,
hkr_words_053962,rejected_correct_low_confidence,,,,,,,
hkr_words_064271,rejected_correct_low_confidence,,,,,,,
school_notebooks_test_0296473,rejected_correct_low_confidence,,,,,,,
school_notebooks_test_0299548,rejected_correct_low_confidence,,,,,,,
school_notebooks_test_0301730,rejected_correct_low_confidence,,,,,,,
school_notebooks_test_0303543,rejected_correct_low_confidence,,,,,,,
school_notebooks_test_0307538,rejected_correct_low_confidence,,,,,,,
school_notebooks_test_0311474,rejected_correct_low_confidence,,,,,,,
school_notebooks_test_0313344,rejected_correct_low_confidence,,,,,,,
school_notebooks_test_0316214,rejected_correct_low_confidence,,,,,,,
school_notebooks_test_0320206,rejected_correct_low_confidence,,,,,,,
cyr_phrase_072352,numeric_mixed_rare_format,,,,,,,
cyr_phrase_073153,numeric_mixed_rare_format,,,,,,,
cyr_phrase_073764,numeric_mixed_rare_format,,,,,,,
cyr_word_073084,numeric_mixed_rare_format,,,,,,,
cyr_word_073442,numeric_mixed_rare_format,,,,,,,
cyr_word_073480,numeric_mixed_rare_format,,,,,,,
cyr_word_073693,numeric_mixed_rare_format,,,,,,,
hkr_words_045328,numeric_mixed_rare_format,,,,,,,
hkr_words_045929,numeric_mixed_rare_format,,,,,,,
hkr_words_046297,numeric_mixed_rare_format,,,,,,,
hkr_words_056669,numeric_mixed_rare_format,,,,,,,
hkr_words_057435,numeric_mixed_rare_format,,,,,,,
hkr_words_062657,numeric_mixed_rare_format,,,,,,,
school_notebooks_test_0298216,numeric_mixed_rare_format,,,,,,,
school_notebooks_test_0301406,numeric_mixed_rare_format,,,,,,,
school_notebooks_test_0310128,numeric_mixed_rare_format,,,,,,,
school_notebooks_test_0311494,numeric_mixed_rare_format,,,,,,,
school_notebooks_test_0311892,numeric_mixed_rare_format,,,,,,,
school_notebooks_test_0313172,numeric_mixed_rare_format,,,,,,,
school_notebooks_test_0313818,numeric_mixed_rare_format,,,,,,,
