annotation_id,sample_id,dataset,level,category,image_path,annotator,audit_usable,exclusion_reason,ink_visible_ok,skeleton_follows_ink,missed_visible_stroke,spurious_stroke,endpoint_error,junction_error,loop_error,critical_topology_error,graph_quality_0_3,notes
iaa2_070,cyr_word_073791,cyrillic_handwriting,word,,data/processed/cyrillic_handwriting/ocr_images/cyr_word_073791.png,,,,,,,,,,,,,
iaa2_071,school_notebooks_test_0307270,school_notebooks_clean,word,teacher_comment,data/processed/school_notebooks/ocr_images/school_notebooks_test_0307270.png,,,,,,,,,,,,,
iaa2_072,hkr_words_064115,hkr_words,word,,data/processed/hkr_words/ocr_images/hkr_words_064115.png,,,,,,,,,,,,,
iaa2_073,cyr_phrase_073406,cyrillic_handwriting,phrase,,data/processed/cyrillic_handwriting/ocr_images/cyr_phrase_073406.png,,,,,,,,,,,,,
iaa2_074,hkr_words_013364,hkr_words,word,,data/processed/hkr_words/ocr_images/hkr_words_013364.png,,,,,,,,,,,,,
iaa2_075,hkr_words_016278,hkr_words,word,,data/processed/hkr_words/ocr_images/hkr_words_016278.png,,,,,,,,,,,,,
iaa2_076,hkr_words_027124,hkr_words,word,,data/processed/hkr_words/ocr_images/hkr_words_027124.png,,,,,,,,,,,,,
iaa2_077,hkr_words_041979,hkr_words,phrase,,data/processed/hkr_words/ocr_images/hkr_words_041979.png,,,,,,,,,,,,,
iaa2_078,cyr_word_072786,cyrillic_handwriting,word,,data/processed/cyrillic_handwriting/ocr_images/cyr_word_072786.png,,,,,,,,,,,,,
iaa2_079,hkr_words_011881,hkr_words,word,,data/processed/hkr_words/ocr_images/hkr_words_011881.png,,,,,,,,,,,,,
iaa2_080,cyr_phrase_073411,cyrillic_handwriting,phrase,,data/processed/cyrillic_handwriting/ocr_images/cyr_phrase_073411.png,,,,,,,,,,,,,
iaa2_081,hkr_words_029694,hkr_words,word,,data/processed/hkr_words/ocr_images/hkr_words_029694.png,,,,,,,,,,,,,
iaa2_082,cyr_phrase_073403,cyrillic_handwriting,phrase,,data/processed/cyrillic_handwriting/ocr_images/cyr_phrase_073403.png,,,,,,,,,,,,,
iaa2_083,cyr_phrase_072374,cyrillic_handwriting,phrase,,data/processed/cyrillic_handwriting/ocr_images/cyr_phrase_072374.png,,,,,,,,,,,,,
iaa2_084,cyr_phrase_072979,cyrillic_handwriting,phrase,,data/processed/cyrillic_handwriting/ocr_images/cyr_phrase_072979.png,,,,,,,,,,,,,
iaa2_085,hkr_words_019884,hkr_words,word,,data/processed/hkr_words/ocr_images/hkr_words_019884.png,,,,,,,,,,,,,
iaa2_086,cyr_phrase_072689,cyrillic_handwriting,phrase,,data/processed/cyrillic_handwriting/ocr_images/cyr_phrase_072689.png,,,,,,,,,,,,,
iaa2_087,cyr_phrase_073481,cyrillic_handwriting,phrase,,data/processed/cyrillic_handwriting/ocr_images/cyr_phrase_073481.png,,,,,,,,,,,,,
iaa2_088,hkr_words_013653,hkr_words,word,,data/processed/hkr_words/ocr_images/hkr_words_013653.png,,,,,,,,,,,,,
iaa2_089,hkr_words_016436,hkr_words,word,,data/processed/hkr_words/ocr_images/hkr_words_016436.png,,,,,,,,,,,,,
iaa2_090,cyr_phrase_073764,cyrillic_handwriting,phrase,,data/processed/cyrillic_handwriting/ocr_images/cyr_phrase_073764.png,,,,,,,,,,,,,
iaa2_091,cyr_phrase_073703,cyrillic_handwriting,phrase,,data/processed/cyrillic_handwriting/ocr_images/cyr_phrase_073703.png,,,,,,,,,,,,,
iaa2_092,hkr_words_053216,hkr_words,word,,data/processed/hkr_words/ocr_images/hkr_words_053216.png,,,,,,,,,,,,,
iaa2_093,hkr_words_057479,hkr_words,phrase,,data/processed/hkr_words/ocr_images/hkr_words_057479.png,,,,,,,,,,,,,
iaa2_094,cyr_word_073709,cyrillic_handwriting,word,,data/processed/cyrillic_handwriting/ocr_images/cyr_word_073709.png,,,,,,,,,,,,,
iaa2_095,school_notebooks_test_0315811,school_notebooks_clean,word,pupil_text,data/processed/school_notebooks/ocr_images/school_notebooks_test_0315811.png,,,,,,,,,,,,,
iaa2_096,cyr_word_073262,cyrillic_handwriting,word,,data/processed/cyrillic_handwriting/ocr_images/cyr_word_073262.png,,,,,,,,,,,,,
iaa2_097,school_notebooks_test_0308668,school_notebooks_clean,word,pupil_text,data/processed/school_notebooks/ocr_images/school_notebooks_test_0308668.png,,,,,,,,,,,,,
iaa2_098,hkr_words_023269,hkr_words,word,,data/processed/hkr_words/ocr_images/hkr_words_023269.png,,,,,,,,,,,,,
iaa2_099,school_notebooks_test_0321914,school_notebooks_clean,word,pupil_text,data/processed/school_notebooks/ocr_images/school_notebooks_test_0321914.png,,,,,,,,,,,,,
iaa2_100,school_notebooks_test_0305718,school_notebooks_clean,word,pupil_text,data/processed/school_notebooks/ocr_images/school_notebooks_test_0305718.png,,,,,,,,,,,,,
